id,idBook,url
201,201,https://example.com/cover1.jpg
202,202,https://example.com/cover2.jpg
203,203,https://example.com/cover3.jpg
204,204,https://example.com/cover4.jpg
205,205,https://example.com/cover5.jpg
206,206,https://example.com/cover6.jpg
207,207,https://example.com/cover7.jpg
208,208,https://example.com/cover8.jpg
209,209,https://example.com/cover9.jpg
210,210,https://example.com/cover10.jpg
211,211,https://example.com/cover11.jpg
212,212,https://example.com/cover12.jpg
213,213,https://example.com/cover13.jpg
214,214,https://example.com/cover14.jpg
215,215,https://example.com/cover15.jpg
